resort_id,sector,type,opening,hours,notes,vertical,name,openTime,closeTime,status,statusDetail,subtype,persons,global_status
,Skyline,T-Bar,open,,,,#3 T-Bar/Bateau,,,open,,Lift,,open
,Double Runner,Double Chair,closed,,,,Double Runner East,,,closed,,Chairlift,2.0,closed
,Double Runner,Double Chair,open,,,,Double Runner West,,,open,,Chairlift,2.0,open
,King Pine,High Capacity Fixed Grip Quad,closed,,,,King Pine,,,closed,,Chairlift,4.0,closed
,Base Area,Carpet,closed,,,,Moose-calator,,,closed,,Carpet,,closed
,Base Area,Double Chair,closed,,,,Sawduster,,,closed,,Chairlift,4.0,closed
,Base Area,Double Chair,closed,,,,Skidway,,,closed,,Chairlift,3.0,closed
,Skyline,High Speed Fixed Grip Quad,closed,,,,Skyline,08:30,15:50,on hold,weather,Chairlift,4.0,on_hold
,Base Area,Triple Chair,closed,,,,Snubber,,,closed,,Chairlift,3.0,closed
,SuperQuad,High Speed Detachable Quad,closed,,,,SuperQuad,08:30,15:50,on hold,conditions,Chairlift,4.0,on_hold
,Timberline,High Capacity Fixed Grip Quad,closed,,,,Timberline,,,closed,,Chairlift,4.0,closed
,West Mountain,Double Chair,closed,,,,West Mountain,,,closed,,Chairlift,2.0,closed
,Whiffletree,High Speed Detachable Quad,closed,,,,Whiffletree SuperQuad,,,closed,,Chairlift,4.0,closed
