resort_id,sector,type,opening,snowmaking,grooming,name,status,groomed,snowMaking,difficulty,notes,subtype,gladed_trail,with_snowmaking,global_status,skate,classic,biking
,Sugarloaf Outdoor Center,trail,closed,,false,50 Cents,closed,no,,Intermediate,,more_difficult,false,false,closed,no,no,no
,Snowfields™ Summit,trail,closed,false,false,Adrenaline Rush,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Androscoggin Glade,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Snowfields™ Summit,trail,closed,false,false,Awesome,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,West Mountain,trail,closed,false,false,Back Cut,closed,no,no,Novice,,easier,false,false,closed,,,
,Snowfields™ Summit,trail,closed,false,false,Ball and Chain,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Timberline,trail,closed,false,false,Barberchair Glade,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,Timberline,trail,closed,false,false,Binder Ext,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,West Mountain,trail,closed,false,false,Birch Hook,closed,no,no,Novice,,easier,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Birler Glade One,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Birler Glade Two,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Blacksmith Glade,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Skyline,trail,closed,false,false,Blade Glade,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,Whiffletree,trail,closed,false,false,Blueberry's Grove Glade,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Double Runner,trail,closed,false,false,Boardwalk,closed,no,no,Novice,,easier,false,false,closed,,,
,Sugarloaf Outdoor Center,trail,closed,,false,Bobcat Alley,closed,no,,Intermediate,,more_difficult,false,false,closed,no,no,no
,Sugarloaf Outdoor Center,trail,closed,,false,Bobcat Cutoff,closed,no,,Intermediate,,more_difficult,false,false,closed,no,no,no
,West Mountain,trail,closed,false,false,Boom Scooter,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,King Pine,trail,closed,false,false,Boomers Glade,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,SuperQuad,trail,closed,false,false,Branding Ax Glade,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,SuperQuad,trail,closed,false,false,Bridle Chain,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Whiffletree,trail,closed,false,false,Broccoli Garden Glade,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,Snowfields™ Summit,trail,closed,false,false,Bubblecuffer Ext,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,West Mountain,trail,closed,false,false,Bucksaw X-Cut,closed,no,no,Novice,,easier,false,false,closed,,,
,Timberline,trail,closed,false,false,Buckskin,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Can't Dog One,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Brackett Basin,trail,closed,false,false,Can't Dog Two,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,SuperQuad,trail,closed,false,false,Candy Side,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Skyline,trail,closed,false,false,Cant Hook Glade,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,King Pine,trail,closed,false,false,Choker,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
,Timberline,trail,closed,false,false,Cinderhoe,closed,no,no,Intermediate,,more_difficult,false,false,closed,,,
,Whiffletree,trail,closed,false,false,Condo X-Cut,closed,no,no,Novice,,easier,false,false,closed,,,
,Skyline,trail,closed,false,false,Cribworks,closed,no,no,Expert,,extremely_difficult,false,false,closed,,,
,Whiffletree,trail,closed,false,false,Cross Haul,closed,no,no,Novice,,easier,false,false,closed,,,
,SuperQuad,trail,closed,false,false,Double Bitter,closed,no,no,Advanced,,most_difficult,false,false,closed,,,
